state,cand,vote,delegates,radius,xValue,yValue,abbrev
South Carolina,Steyer,15.5,11,7.090855351901601,487,322,SC
South Dakota,Steyer,1.1,0,0.0,257,167,SD
Tennessee,Steyer,2.3,0,0.0,379,284,TN
Texas,Steyer,1.7,0,0.0,271,355,TX
Utah,Steyer,2.7,0,0.0,204,218,UT
Vermont,Steyer,1.8,0,0.0,585,47,VT
Virginia,Steyer,0.8,0,0.0,508,229,VA
Washington,Steyer,1.8,0,0.0,154,131,WA
West Virginia,Steyer,2.0,0,0.0,451,242,WV
Wisconsin,Steyer,1.5,0,0.0,359,146,WI
Wyoming,Steyer,2.9,0,0.0,214,177,WY
District of Columbia,Steyer,2.4,0,0.0,536,193,DC
Alabama,Warren,9.2,0,0.0,413,332,AL
Alaska,Warren,12.9,0,0.0,41,19,AK
Arizona,Warren,11.3,2,3.023550881198871,172,282,AZ
Arkansas,Warren,8.4,0,0.0,325,290,AR
California,Warren,13.1,26,10.901567736136858,103,237,CA
Colorado,Warren,16.2,14,7.999563708002411,224,249,CO
Connecticut,Warren,14.7,5,4.780653702998803,586,128,CT
Delaware,Warren,11.0,0,0.0,557,183,DE
Florida,Warren,8.8,0,0.0,483,380,FL
Georgia,Warren,6.1,0,0.0,443,298,GA
Hawaii,Warren,14.2,2,3.023550881198871,88,372,HI
Idaho,Warren,8.2,0,0.0,188,173,ID
Illinois,Warren,8.5,0,0.0,359,207,IL
Indiana,Warren,12.0,4,4.275946662716565,413,207,IN
Iowa,Warren,18.0,8,6.047101762397742,306,195,IA
Kansas,Warren,12.5,2,3.023550881198871,266,248,KS
Kentucky,Warren,10.6,1,2.1379733313582827,411,251,KY
Louisiana,Warren,8.8,0,0.0,326,335,LA
Maine,Warren,13.1,2,3.023550881198871,628,26,ME
Maryland,Warren,11.2,3,3.7030784351398367,505,185,MD
Massachusetts,Warren,19.1,24,10.473887491012189,607,89,MA
Michigan,Warren,12.2,6,5.236943745506094,418,149,MI
Minnesota,Warren,13.3,5,4.780653702998803,304,142,MN
Mississippi,Warren,8.2,0,0.0,373,324,MS
Missouri,Warren,9.7,0,0.0,329,251,MO
Montana,Warren,13.0,0,0.0,206,131,MT
Nebraska,Warren,12.3,1,2.1379733313582827,258,209,NE
Nevada,Warren,12.9,0,0.0,167,220,NV
New Hampshire,Warren,9.3,0,0.0,612,54,NH
New Jersey,Warren,10.8,3,3.7030784351398367,551,147,NJ
New Mexico,Warren,11.4,1,2.1379733313582827,215,303,NM
New York,Warren,11.2,9,6.413919994074849,548,81,NY
North Carolina,Warren,8.9,0,0.0,499,278,NC
North Dakota,Warren,11.6,0,0.0,257,136,ND
Ohio,Warren,10.9,4,4.275946662716565,459,191,OH
Oklahoma,Warren,9.0,0,0.0,270,294,OK
Oregon,Warren,13.3,4,4.275946662716565,124,176,OR
Pennsylvania,Warren,9.9,2,3.023550881198871,498,132,PA
Rhode Island,Warren,15.0,2,3.023550881198871,619,126,RI
South Carolina,Warren,7.6,0,0.0,487,322,SC
South Dakota,Warren,12.3,1,2.1379733313582827,257,167,SD
Tennessee,Warren,10.2,1,2.1379733313582827,379,284,TN
Texas,Warren,13.4,16,8.55189332543313,271,355,TX
Utah,Warren,13.2,2,3.023550881198871,204,218,UT
Vermont,Warren,10.0,0,0.0,585,47,VT
Virginia,Warren,9.1,0,0.0,508,229,VA
Washington,Warren,13.0,6,5.236943745506094,154,131,WA
West Virginia,Warren,4.0,0,0.0,451,242,WV
Wisconsin,Warren,12.3,4,4.275946662716565,359,146,WI
Wyoming,Warren,11.3,0,0.0,214,177,WY
District of Columbia,Warren,9.0,0,0.0,536,193,DC
Alabama,Yang,0.0,0,0.0,413,332,AL
Alaska,Yang,0.0,0,0.0,41,19,AK
Arizona,Yang,0.0,0,0.0,172,282,AZ
Arkansas,Yang,0.0,0,0.0,325,290,AR
California,Yang,0.0,0,0.0,103,237,CA
Colorado,Yang,0.0,0,0.0,224,249,CO
Connecticut,Yang,0.0,0,0.0,586,128,CT
Delaware,Yang,0.0,0,0.0,557,183,DE
Florida,Yang,0.0,0,0.0,483,380,FL
Georgia,Yang,0.0,0,0.0,443,298,GA
Hawaii,Yang,0.0,0,0.0,88,372,HI
Idaho,Yang,0.0,0,0.0,188,173,ID
Illinois,Yang,0.0,0,0.0,359,207,IL
Indiana,Yang,0.0,0,0.0,413,207,IN
Iowa,Yang,1.0,0,0.0,306,195,IA
Kansas,Yang,0.0,0,0.0,266,248,KS
Kentucky,Yang,0.0,0,0.0,411,251,KY
Louisiana,Yang,0.0,0,0.0,326,335,LA
Maine,Yang,0.0,0,0.0,628,26,ME
Maryland,Yang,0.0,0,0.0,505,185,MD
Massachusetts,Yang,0.0,0,0.0,607,89,MA
Michigan,Yang,0.0,0,0.0,418,149,MI
Minnesota,Yang,0.0,0,0.0,304,142,MN
Mississippi,Yang,0.0,0,0.0,373,324,MS
Missouri,Yang,0.0,0,0.0,329,251,MO
Montana,Yang,0.0,0,0.0,206,131,MT
Nebraska,Yang,0.0,0,0.0,258,209,NE
Nevada,Yang,0.0,0,0.0,167,220,NV
New Hampshire,Yang,3.6,0,0.0,612,54,NH
New Jersey,Yang,0.0,0,0.0,551,147,NJ
New Mexico,Yang,0.0,0,0.0,215,303,NM
New York,Yang,0.0,0,0.0,548,81,NY
North Carolina,Yang,0.0,0,0.0,499,278,NC
North Dakota,Yang,0.0,0,0.0,257,136,ND
Ohio,Yang,0.0,0,0.0,459,191,OH
Oklahoma,Yang,0.0,0,0.0,270,294,OK
Oregon,Yang,0.0,0,0.0,124,176,OR
Pennsylvania,Yang,0.0,0,0.0,498,132,PA
Rhode Island,Yang,0.0,0,0.0,619,126,RI
South Carolina,Yang,0.0,0,0.0,487,322,SC
South Dakota,Yang,0.0,0,0.0,257,167,SD
Tennessee,Yang,0.0,0,0.0,379,284,TN
Texas,Yang,0.0,0,0.0,271,355,TX
Utah,Yang,0.0,0,0.0,204,218,UT
Vermont,Yang,0.0,0,0.0,585,47,VT
Virginia,Yang,0.0,0,0.0,508,229,VA
Washington,Yang,0.0,0,0.0,154,131,WA
West Virginia,Yang,0.0,0,0.0,451,242,WV
Wisconsin,Yang,0.0,0,0.0,359,146,WI
Wyoming,Yang,0.0,0,0.0,214,177,WY
District of Columbia,Yang,0.0,0,0.0,536,193,DC
